Rating;Title;Review;Tagged;Date;Link;Expected Feature;Polarity
5.0 out of 5 stars;I love it;It's the best phone ever... It works really good and no complains.;[('best', 'JJS'), ('work', '##NN##'), ('good', 'JJ'), ('complains', 'NNS')],;27-Sep-18;https://www.amazon.com/HTC-U12-Factory-Unlocked-Phone/product-reviews/B07D7PV144/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews;phone;1
5.0 out of 5 stars;Buy it;Best 2018 phone period best camera best sound fast processor;[('best', 'JJS'), ('2018', 'CD'), ('period', '##NN##'), ('best', 'RBS'), ('camera', '##NN##'), ('best', 'JJS'), ('sound', '##NN##'), ('fast', 'RB'), ('processor', '##NN##')],;18-Nov-18;;phone,camera,processor;1,1,2
5.0 out of 5 stars;The quality in the product;Its a beautiful cell phone, it arrives a little bit late but now its in my hands;[('beautiful', '##NN##'), ('cell', '##NN##'), ('arrives', 'VBZ'), ('bit', 'RB'), ('late', 'JJ'), ('hand', '##NN##')],;1-May-19;https://www.amazon.com/HTC-U12-Factory-Unlocked-Phone/product-reviews/B07D7PV144/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews;phone;2
5.0 out of 5 stars;Best...;I love HTC,i get used,but HTC must be develop yourself,old models better than news...thanks...;[('love', 'VB'), ('htc', '##NN##'), ('htc', '##NN##'), ('develop', 'VBP'), ('model', '##NN##'), ('better', 'RBR'), ('news', '##NN##')],;5-Nov-18;;htc;1
5.0 out of 5 stars;Excellent;Excellent phone. The buttons work as expected. Not sure why the reviewers were bashing it.;[('excellent', 'JJ'), ('button', '##NN##'), ('work', '##NN##'), ('expected', 'VBN'), ('not', 'RB'), ('sure', 'JJ'), ('reviewer', '##NN##'), ('bashing', '##NN##')],;13-Jul-18;https://www.amazon.com/HTC-U12-Factory-Unlocked-Phone/product-reviews/B07D7PV144/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews;phone,button;1,1
4.0 out of 5 stars;Excelente;Excelente teléfono;[('excelente', '##NN##'), ('teléfono', '##NN##')],;5-Nov-18;https://www.amazon.com/HTC-U12-Factory-Unlocked-Phone/product-reviews/B07D7PV144/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews;telefono;1
5.0 out of 5 stars;Ignore bad reviews;"Ok, to start, I have been buying HTC phones for years. Even when I decide to buy a more mainstream phone I end up taking it back for one reason or another. I will not spend this review bashing the other ""leaders"" of phones out there. If they work for you great, I will state why I prefer HTC phones.1-LCD screen, if you want a screen that looks good and doesn't degrade the instant it is turned on (fact about ALL amoleds, some worse than others) 2-Battery life, not talking about video run time or anything like that, I fully believe those are subjective, what I mean is when I sit the phone down, not sure if it is just Android Doze or if HTC does something on top of it, but when I do NOT charge the phone at night and it only loses 3-5% battery life,pretty awesome, only other phone I had that came close was Pixel 2, all others lose 10-15% overnight. 3-Edge function, I have read a lot of ""reviews"" where this function is completely flamed hard, all I have to say is that if you don't like it, turn it off. But day to day use is fantastic, I use it regularly and if you have a job where you may have gloves on or any situation where you don't have finger dexterity, squeezing to start camera and squeeze to take the picture is invaluable. 4-Skin, I feel for the most part that HTC doesn't mess with what is not broken, they embrace existing google apps and tweak ever so slightly the basic operation of android, I actually read a review where someone said Sense is too heavy, at that point I knew he had not a clue, and probably only spent 30 minutes with the phone. 5-Build, HTC has been making very high quality phones for a very long time. Now, the bad (or not so good is a better way to describe it), who knows the future of the company, no business model would last when they keep losing money, once google bought whatever is is they bought, they seem to have turned their back on HTC. The high price-they are expensive and although they are a very high quality phone, most people will never know because other phones are released at a high price and then basically given away after a month, therefore most people won't shell out the money to get this phone.
In closing, my best advice, ignore most of the reviews (haptic buttons are absolutely NOT a problem, like too many people are stating) and take full advantage of the Amazon or HTC return policy, I have a feeling that unless you are already loyal to a certain manufacturer you will find this is another fantastic phone from HTC. (no i'm not an HTC employee, but I have bought most HTC phones since the HTC Inspire)";[('start', '##NN##'), ('buying', 'VBG'), ('htc', '##NN##'), ('phone', '##NN##'), ('year', '##NN##'), ('decide', 'RB'), ('buy', 'VBP'), ('mainstream', 'JJ'), ('reason', '##NN##'), ('will', 'MD'), ('not', 'RB'), ('spend', 'VB'), ('review', '##NN##'), ('bashing', 'VBG'), ('leader', '##NN##'), ('phone', '##NN##'), ('work', '##NN##'), ('great', 'JJ'), ('will', 'MD'), ('state', '##NN##'), ('prefer', 'VB'), ('htc', 'JJ'), ('phones.1-lcd', 'JJ'), ('screen', '##NN##'), ('screen', '##NN##'), ('good', 'JJ'), ('not', 'RB'), ('degrade', 'VB'), ('instant', '##NN##'), ('turned', 'VBD'), ('fact', '##NN##'), ('amoleds', 'NNS'), ('worse', 'JJR'), ('2-battery', 'JJ'), ('life', '##NN##'), ('not', 'RB'), ('talking', 'VBG'), ('video', 'JJ'), ('time', '##NN##'), ('fully', 'RB'), ('subjective', 'JJ'), ('sit', '##NN##'), ('not', 'RB'), ('sure', 'JJ'), ('android', 'JJ'), ('doze', '##NN##'), ('htc', '##NN##'), ('top', '##NN##'), ('not', 'RB'), ('charge', 'VB'), ('night', '##NN##'), ('loses', 'VBZ'), ('3-5', 'JJ'), ('battery', '##NN##'), ('life', '##NN##'), ('pretty', 'RB'), ('awesome', 'JJ'), ('close', 'RB'), ('pixel', 'JJ'), ('2', 'CD'), ('lose', 'JJ'), ('10-15', 'JJ'), ('overnight', 'JJ'), ('3-edge', 'JJ'), ('function', '##NN##'), ('read', '##NN##'), ('lot', '##NN##'), ('review', 'VB'), ('function', '##NN##'), ('completely', 'RB'), ('flamed', 'VBD'), ('hard', 'JJ'), ('not', 'RB'), ('turn', 'VB'), ('day', '##NN##'), ('day', '##NN##'), ('fantastic', 'JJ'), ('regularly', 'RB'), ('job', '##NN##'), ('glove', 'JJ'), ('situation', '##NN##'), ('not', 'RB'), ('finger', 'JJ'), ('dexterity', '##NN##'), ('squeezing', 'VBG'), ('start', '##NN##'), ('camera', '##NN##'), ('squeeze', '##NN##'), ('picture', '##NN##'), ('invaluable', 'JJ'), ('4-skin', 'JJ'), ('feel', '##NN##'), ('htc', '##NN##'), ('not', 'RB'), ('mess', 'RB'), ('not', 'RB'), ('broken', 'JJ'), ('embrace', '##NN##'), ('existing', 'VBG'), ('google', '##NN##'), ('apps', '##NN##'), ('tweak', '##NN##'), ('basic', 'JJ'), ('operation', '##NN##'), ('android', '##NN##'), ('read', 'VBP'), ('review', '##NN##'), ('sense', '##NN##'), ('heavy', 'JJ'), ('point', '##NN##'), ('knew', 'VBD'), ('not', 'RB'), ('clue', 'JJ'), ('spent', 'VBD'), ('30', 'CD'), ('minute', 'JJ'), ('5-build', 'JJ'), ('htc', '##NN##'), ('making', 'VBG'), ('high', 'JJ'), ('quality', '##NN##'), ('phone', '##NN##'), ('long', 'JJ'), ('time', '##NN##'), ('bad', 'JJ'), ('not', 'RB'), ('good', 'JJ'), ('better', 'RBR'), ('describe', 'JJ'), ('future', 'JJ'), ('company', '##NN##'), ('business', '##NN##'), ('model', '##NN##'), ('keep', 'VB'), ('losing', 'VBG'), ('money', '##NN##'), ('google', '##NN##'), ('bought', 'VBD'), ('bought', 'RB'), ('turned', 'VBN'), ('htc', 'JJ'), ('high', 'JJ'), ('price-they', '##NN##'), ('expensive', 'JJ'), ('high', 'JJ'), ('quality', '##NN##'), ('people', 'NNS'), ('will', 'MD'), ('phone', '##NN##'), ('released', 'VBN'), ('high', 'JJ'), ('price', '##NN##'), ('basically', 'RB'), ('month', '##NN##'), ('people', 'NNS'), ('will', 'MD'), ('not', 'RB'), ('shell', 'VB'), ('money', '##NN##'), ('closing', '##NN##'), ('best', 'JJS'), ('advice', '##NN##'), ('ignore', '##NN##'), ('review', '##NN##'), ('haptic', 'JJ'), ('button', '##NN##'), ('absolutely', 'RB'), ('not', 'RB'), ('problem', '##NN##'), ('people', 'NNS'), ('stating', 'VBG'), ('full', 'JJ'), ('advantage', '##NN##'), ('amazon', '##NN##'), ('htc', 'JJ'), ('return', '##NN##'), ('policy', '##NN##'), ('feeling', 'VBG'), ('loyal', 'JJ'), ('manufacturer', '##NN##'), ('will', 'MD'), ('find', 'VB'), ('fantastic', 'JJ'), ('htc', '##NN##'), ('not', 'RB'), ('htc', 'JJ'), ('employee', '##NN##'), ('bought', 'VBD'), ('htc', '##NN##'), ('phone', '##NN##'), ('htc', '##NN##'), ('inspire', '##NN##')],;30-Jun-18;;htc,phones,phone,phones,screen,screen,phone,phone,battery,phone,camera,squeeze,sense,phone,quality,phones,quality,phone,phones,phone,button,phone,phones,life;2,2,0,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,0
5.0 out of 5 stars;Nice phone;I have always used HTC phones and this one is a really good phone so far. Its battery doesn't last that long, which may just be because of Google apps constantly turning on GPS to track your location. There is a way to disable this, but I figure if I do I'll end up misplacing my phone somewhere and wish I had that enabled. The screen looks really good, and the pictures it takes are good except for this occasional weird thing it does where, initially the photo looks great... as in, the preview you see that freezes for a couple seconds to show you the picture you got... but then you go to look at the picture in the gallery or send to someone and it's blurry. Yet, you know it did not look like that just earlier. It doesn't always do this... just maybe once every 5 photos or so... When the picture doesn't become blurry after the fact, they are really nice pictures. I switched to T mobile and can use the Wi-Fi calling with this phone when I'm at home. With Verizon that feature won't work.;[('htc', '##NN##'), ('phone', '##NN##'), ('good', 'JJ'), ('battery', '##NN##'), ('not', 'RB'), ('long', 'RB'), ('google', 'JJ'), ('apps', '##NN##'), ('constantly', 'RB'), ('turning', 'VBG'), ('gps', 'JJ'), ('track', '##NN##'), ('location', '##NN##'), ('disable', 'JJ'), ('figure', '##NN##'), ('will', 'MD'), ('misplacing', 'VB'), ('enabled', 'JJ'), ('screen', '##NN##'), ('good', 'JJ'), ('picture', '##NN##'), ('take', 'VB'), ('good', 'JJ'), ('occasional', 'JJ'), ('weird', 'JJ'), ('thing', '##NN##'), ('initially', 'RB'), ('photo', 'VBZ'), ('great', 'JJ'), ('preview', '##NN##'), ('freeze', 'JJ'), ('couple', 'JJ'), ('second', 'JJ'), ('picture', '##NN##'), ('picture', '##NN##'), ('gallery', '##NN##'), ('send', '##NN##'), ('blurry', '##NN##'), ('not', 'RB'), ('earlier', 'RB'), ('not', 'RB'), ('5', 'CD'), ('photo', 'JJ'), ('picture', '##NN##'), ('not', 'RB'), ('blurry', 'JJ'), ('fact', '##NN##'), ('nice', 'JJ'), ('picture', '##NN##'), ('switched', 'VBD'), ('t', 'RB'), ('mobile', 'JJ'), ('wi-fi', 'JJ'), ('calling', 'VBG'), ('verizon', 'JJ'), ('feature', '##NN##'), ('will', 'MD'), ('not', 'RB'), ('work', 'VB')],;13-Mar-19;;htc,phone,battery,track,location,screen,picture,preview,picture,picture,picture;2,1,1,0,2,1,1,2,2,1,0
1.0 out of 5 stars;This phone's screen is too sensitive for basic daily use;"I'll start off with saying I don't hate HTC products. I've used their phones since the original Evo 4G, and loved every little gimmick their phones would have. The audio from their latest phones back from the M9 was the sole reason I stuck with them, the phone before this being an M9 that's still in perfect order today. It's as powerful as the rest and those earbuds that come with this phone are the best packaged in headphones to come with a phone ever.

The bad part is how it's very obvious their phone division is suffering in durability lately. The pictures I took are of my phone after I had it in my pocket and was going to take a picture of something on Snapchat. This phone WASN'T dropped, and for just sitting in my pocket, the screen cracks. I've included my pictures to show the frame around the screen, showing that there is no drop damage done like scratches or scuffs done to it at all. I have no clue if this is a defective screen or just bad build quality, but this is a horrible use of Gorilla Glass I've ever seen.

The worst part about this is with the evidence that I took and sent to HTC's repair center and asking they look into it as a defective screen, but their repair center keeps claiming this is out of their warranty and will have to pay $200 to repair. If this was a one off screen that wasn't made correctly and repaired with warranty, I wouldn't mind this at all, but this is ridiculous that I have to pay for my phone damaging itself.

So saddly, I won't be getting anymore HTC phones, especially given that these screens seem to also ca##NN##ot be removed as easily as some other phones for a DIY solution. I highly recommend avoiding this phone even as an HTC veteran.";[('will', 'MD'), ('start', 'VB'), ('not', 'RB'), ('hate', 'JJ'), ('htc', 'NNS'), ('product', '##NN##'), ('phone', '##NN##'), ('original', 'JJ'), ('evo', '##NN##'), ('4g', 'CD'), ('loved', 'VBD'), ('gimmick', '##NN##'), ('phone', '##NN##'), ('audio', 'JJ'), ('latest', 'JJS'), ('phone', '##NN##'), ('m9', '##NN##'), ('sole', 'JJ'), ('reason', '##NN##'), ('stuck', 'VBD'), ('m9', '##NN##'), ('perfect', '##NN##'), ('order', '##NN##'), ('today', '##NN##'), ('powerful', 'JJ'), ('rest', '##NN##'), ('earbuds', '##NN##'), ('best', 'JJS'), ('packaged', 'VBD'), ('headphone', '##NN##'), ('bad', 'JJ'), ('obvious', 'JJ'), ('division', '##NN##'), ('suffering', 'VBG'), ('durability', '##NN##'), ('picture', '##NN##'), ('pocket', '##NN##'), ('going', 'VBG'), ('picture', '##NN##'), ('snapchat', 'WP'), (' not', 'NNP'), ('dropped', 'VBD'), ('sitting', 'VBG'), ('pocket', '##NN##'), ('screen', '##NN##'), ('crack', '##NN##'), ('included', 'VBD'), ('picture', '##NN##'), ('frame', '##NN##'), ('screen', 'JJ'), ('showing', 'VBG'), ('drop', '##NN##'), ('damage', '##NN##'), ('scratch', '##NN##'), ('scuff', '##NN##'), ('clue', '##NN##'), ('defective', 'JJ'), ('screen', '##NN##'), ('bad', 'JJ'), ('build', 'JJ'), ('quality', '##NN##'), ('horrible', 'JJ'), ('gorilla', '##NN##'), ('glass', '##NN##'), ('worst', 'JJS'), ('evidence', '##NN##'), ('htc', '##NN##'), ('repair', '##NN##'), ('center', '##NN##'), ('defective', 'JJ'), ('screen', 'JJ'), ('repair', '##NN##'), ('center', '##NN##'), ('keep', 'VB'), ('claiming', 'VBG'), ('warranty', '##NN##'), ('will', 'MD'), ('pay', 'VB'), ('$', '$'), ('200', 'CD'), ('repair', '##NN##'), ('screen', '##NN##'), ('not', 'RB'), ('correctly', 'RB'), ('repaired', 'VBN'), ('warranty', '##NN##'), ('not', 'RB'), ('mind', 'RB'), ('ridiculous', 'JJ'), ('pay', '##NN##'), ('damaging', 'VBG'), ('saddly', 'RB'), ('will', 'MD'), ('not', 'RB'), ('htc', 'VB'), ('phone', '##NN##'), ('screen', '##NN##'), ('not', 'RB'), ('removed', 'VBN'), ('easily', 'RB'), ('phone', '##NN##'), ('diy', 'JJ'), ('solution', '##NN##'), ('highly', 'RB'), ('recommend', 'JJ'), ('avoiding', 'VBG'), ('htc', '##NN##'), ('veteran', '##NN##')],;15-Nov-18;https://www.amazon.com/HTC-U12-Factory-Unlocked-Phone/product-reviews/B07D7PV144/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews;htc,phone,phone,phone,headphone,screen,quality,glass,htc,screen,phone,screen,phone,htc;0,2,2,0,0,0,0,0,0,1,0,0,1,2
5.0 out of 5 stars;Hands down the best phone I've owned to date!;"After only 24 hours I can say I absolutely love this phone. I got used to the non button buttons right way (which seems to be critics biggest gripe.) The Edge Sense is really handy and takes little time to get used to. Set up was a breeze and since my previous phone was also an HTC it was super easy to import my phone settings and most of my apps from my previous handset.  I can already tell that the firmware update has improved the battery life (but is too early to say how much.)
The fingerprint reader is located on the back at the perfect spot, and face recognition unlock is quite handy.
The built in speakers are awesome and quite loud. Very clear sound and provide more bass than expected. The ear buds that come with the phone by far sound better than any others that I already own. Also I usually use Bluetooth speakers at work so the lack of a 3.5mm Jack does not bother me in the least.

My only small gripe is about the volume buttons, you can't long press to turn volume all the way up/down, you have to keep tapping the buttons level by level. However as soon as you do hit the buttons, the volume level pops up on the screen, so you can just adjust it from there, so it's really a non issue.
Also the plastic phone case that comes in the box seems cheap, but it feels nice once you put it on the phone. It'll definitely do the job until I get around to buying another case.

I'll update my review if the need arises.

Edit: The volume buttons will in fact turn the volume all the way up or down with one press. I don't know if it was the update our what, But edge sense is more sensitive than it was the first day or so, which is a good thing.";[('24', 'CD'), ('hour', '##NN##'), ('absolutely', 'RB'), ('love', 'IN'), ('button', '##NN##'), ('button', '##NN##'), ('critic', 'JJ'), ('biggest', 'JJS'), ('gripe', '##NN##'), ('edge', '##NN##'), ('sense', '##NN##'), ('handy', 'JJ'), ('take', '##NN##'), ('time', '##NN##'), ('set', 'VBN'), ('breeze', 'RB'), ('previous', 'JJ'), ('htc', 'NNS'), ('super', 'JJ'), ('easy', 'JJ'), ('import', '##NN##'), ('setting', 'VBG'), ('apps', 'RB'), ('previous', 'JJ'), ('handset', '##NN##'), ('firmware', '##NN##'), ('update', 'JJ'), ('improved', 'VBN'), ('battery', '##NN##'), ('life', '##NN##'), ('early', 'JJ'), ('fingerprint', '##NN##'), ('reader', '##NN##'), ('located', 'VBN'), ('perfect', 'JJ'), ('spot', '##NN##'), ('face', '##NN##'), ('recognition', '##NN##'), ('unlock', '##NN##'), ('handy', '##NN##'), ('built', 'VBN'), ('speaker', '##NN##'), ('awesome', 'JJ'), ('loud', 'JJ'), ('clear', 'JJ'), ('sound', '##NN##'), ('provide', 'RB'), ('bass', '##NN##'), ('expected', 'VBN'), ('ear', 'JJ'), ('bud', '##NN##'), ('sound', '##NN##'), ('better', 'RBR'), ('bluetooth', 'DT'), ('speaker', '##NN##'), ('work', '##NN##'), ('lack', 'RB'), ('3.5mm', 'CD'), ('jack', '##NN##'), ('not', 'RB'), ('bother', 'RB'), ('small', 'JJ'), ('gripe', '##NN##'), ('volume', '##NN##'), ('button', 'IN'), ('not', 'RB'), ('long', 'JJ'), ('press', '##NN##'), ('turn', '##NN##'), ('volume', '##NN##'), ('up/down', 'JJ'), ('keep', 'VB'), ('tapping', 'VBG'), ('button', 'JJ'), ('level', '##NN##'), ('level', '##NN##'), ('hit', 'VBD'), ('button', 'JJ'), ('volume', '##NN##'), ('level', '##NN##'), ('pop', '##NN##'), ('screen', '##NN##'), ('adjust', 'JJ'), ('issue', '##NN##'), ('plastic', '##NN##'), ('case', '##NN##'), ('box', '##NN##'), ('cheap', 'JJ'), ('feel', '##NN##'), ('nice', 'RB'), ('will', 'MD'), ('definitely', 'RB'), ('job', '##NN##'), ('buying', 'VBG'), ('case', '##NN##'), ('will', 'MD'), ('update', 'VB'), ('review', '##NN##'), ('arises', 'NNS'), ('edit', 'VBP'), ('volume', '##NN##'), ('button', '##NN##'), ('will', 'MD'), ('fact', '##NN##'), ('turn', 'VB'), ('volume', '##NN##'), ('press', '##NN##'), ('not', 'RB'), ('update', 'JJ'), ('edge', '##NN##'), ('sense', '##NN##'), ('sensitive', 'JJ'), ('day', '##NN##'), ('good', 'JJ'), ('thing', '##NN##')],;18-Aug-18;;button,button,battery,fingerprint,speaker,sound,speaker,jack,button,button,life;1,2,1,1,1,1,2,0,2,2,0
