Rating;Title;Review;Author;Date;Link;Expected Feature;Polarity
5.0 out of 5 stars;"Washer safe ;)";So it's the cleanest phone I've ever used... literally, just sent it through my washer machine... On accident of course. I thought it sounded weird that there would be something banging in my washer so I open it saw my phone was able to use it right away. Besides that the phone is great fast and responsive. Plays games well, doesn't get hot. The battery care system is nice. The finger print scanner works very well.;Tommyj13;17-Nov-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,phone,phone,battery;2,2,1,2
3.0 out of 5 stars;Pretty buggy;Its one of the buggiest phones I've ever had. A bummer too because I was really excited for this phone.;Josh Plank;8-Sep-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,phone;0,1
5.0 out of 5 stars;The best compact cellphone;Excelente cellphone, size and quality;Fernando Nattes McGalem;31-Mar-19;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;size;2
4.0 out of 5 stars;Will NOT work on CDMA/Verizon 3rd party networks!;"I spent about a week trying to figure out why my phone would not receive texts at all, while every other feature worked perfectly. When I finally contacted Sony, they told me that this phone does NOT have the capability to work on 3rd party Verizon networks (MVNOs) (like net10, Red Pocket, StraightTalk, etc) on a CDMA SIM card. If you are using Verizon itself it WILL work though, you just have to have a certain setting enabled for your coverage. AT&T  and its equivalent MVNO works just fine (so I have been told- still waiting for my SIM card to come in). Wish someone had told me about that before, it would have saved me a lot of time and frustration. I was also told by Sony that this is the ONLY Sony phone that will work on Verizon. All the other ones do not have the capability.

Another complaint I have is that it will not connect to my wi-fi extender. It is fine with the ""regular"" wifi, but it just will not connect to the extension no matter what I try. Seems like Sony has a few features that they need to add/update.

The phone itself is nice- has a lot of great features and I love the size. The pictures are crystal clear and the sound quality is great. Hoping my choice to stick with the phone and forefit my preferred coverage is worth it!";Melanie DiBona;23-Oct-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,phone,verizon,network,verizon,sony,phone,sony,phone,feature,size,picture,sound,quality,phone;0,0,2,2,2,2,2,2,1,1,1,2,1,1,2
5.0 out of 5 stars;Great performance, battery, and size;"Pros-
Fantastic battery for the size.  Routinely finish the day with 40% after a few hours of streaming music/video and light gaming.
Top notch performance.  Same CPU/RAM as the Pixel 3 but almost half the price.
Camera is a big step up from previous Motorola.  Not as fast/clear as the iPhone or Pixel but dedicated camera button is great and most photos don't need correcting on Auto.  960 FPS slow mo is a great party trick but needs so much light it gets lots of image noise if used indoors.
Cons-
No headphone jack.  Type C dongles are fiddly at best and makes you paranoid that you'll damage the charge port if your headphones pull to hard.
Sony's UI overlay isn't too intrusive but the settings menu is hard to navigate.  Had to search for things like 3rd party app installation.
Comes with Swiftkey preinstalled.  Normally a good thing but GBoard has improved so much it's much more intuitive for things like voice texting.";DrMario86;29-Nov-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;battery,performance,price,camera,button,camera,photo,headphone,headphone;1,1,2,1,1,1,1,2,2
4.0 out of 5 stars;Compact size with a decent performance;"Though the performance is not as high as other flagship phones, This phone's unique feature that any other phones don't have is the compact size with sufficient performance. Because of the small size of screen and body, there are actually some inconvenient things, like a little annoying camera button or a difficult play with ""PS4 Remote Play"".

So, if you want to buy a MODERN and SMALL smartphone and usually don't enjoy some video related entertainments,  I'll bet Xperia XZ2 Compact is the best smartphone for you.";Minsu Kang;19-Dec-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;performance,phone,phone,phone,size,performance,size,screen,body,camera,button;0,2,1,1,2,2,2,2,0,0,0
5.0 out of 5 stars;strong smartphone;sony xz2 compact falled in work on rocks and did not break the glass , good product sony;daniel;17-Nov-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;sony,glass,sony,product;2,0,1,1
4.0 out of 5 stars;Get a screen protector;I like they phone a lot, but the glass screen scratches REALLY easily.  Mine was scratched up on the corners within 3 days, just from setting it face-down on surfaces.  It doesn't affect operation, but sure doesn't bode well for hope long it'll last.;Ian;28-Nov-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,screen;2,2
3.0 out of 5 stars;Desilusión;El móvil es bastante pesado y la batería no dura 2 dias;Luis;11-Jul-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;-;2
5.0 out of 5 stars;Survived 36 hours in salt water on vacation!;"Hawaii Day 1- went snorkeling with my 4 year old Sony Xperia Z2.  The waterproof gaskets for the charge port door had long since worn out so it flooded and died.  That phone was a tank and I put it through hell non-stop for 4 years traveling and living in Alaska for most of it.  It still worked flawlessly until I drowned it.
Later that day I went to a local blue and yellow electronics store and a Samsung sales rep approached me and asked what I was looking for in a phone.  I told him I'm looking for one that says Sony on it.  Walked out with an XZ2 Compact.  Out of the thousands of times I dropped my last Sony Z2, about half were due to trying to reach my thumb across the screen and the XZ2 was even bigger.  The XZ2 compact is about perfect size for me.  Reminds me of my first smartphone, the Xperia X10.
The next morning, 12 hours after purchase I absent-mindedly pocketed my brand new XZ2 compact and went back in the ocean in front of my hotel.  Hours later I realized it was gone and concluded it must have gone back in my pocket and slipped out while snorkeling.  Devastating. I snorkeled for another hour trying to find it and gave up.
A day and a half later, I find out someone found it!!  It was still on!!  5pm the next day. No case or anything.
 They stepped on it in about 5ft (neck deep) of water where it was too cloudy to see the bottom.  It still had 47% battery.  The guy that found it was so impressed he took a picture of the model number and wants to buy one.

I'm so glad I was able to find a Sony phone at a local store, I've always had good luck with Xperia phones but this wins all my torture stories.

I'm still adjusting to typing on the smaller screen but everything else has been a painless transition.  My two only complaints (and I'm a non-stop complainer/nit-picker) is the lack of headphone port and I wish the brightness slider had a toggle for auto brightness without going into the settings.

It's a bit thick but after a few minutes in your hand it's the perfect shape and I prefer it now.  It feels indestructable but small and sleek.  It's also extremely slippery without a case.  Even worse than having a glass back like the regular XZ2 has so I'll be buying a slim case if I can manage not to lose it by the end of my trip!";Ben N.;30-Sep-18;https://www.amazon.com/Sony-Xperia-Compact-Unlocked-Smartphone/product-reviews/B07B821WFJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,sony,screen,size,picture,shape,case,case,glass;0,2,2,1,1,1,0,2,0
