Rating;Title;Review;Author;Date;Link;Expected Feature;Polarity
3.0 out of 5 stars;A mixed bag. Not a 5.7 inch screen;"This phone is a mixed bag. On paper, the specs look good and it seems to run fast. However, the biggest issue that I have with the phone is its screen. Sony claims that the phone has a 5.7 inch screen. NOT TRUE. The useable screen is only 5.3 inch. So if you are looking for a 5.3 inch screen, this may be your phone. If you need something bigger, move on.

Currently own a Samsung Note 4. It has a true 5.7 inch screen. Measuring the width and the height of the screen you get about 7.1 x 12.6 cm = 89.46 sqcm of useable screen space. My iPhone 6s plus has 83.64 sqcm of screen space. And now this Sony XZ2 : 6.5 x 11.6 cm = 75.4 sqcm of usable screen space. You loose a lot of real estate. Can't afford this, need this phone for business  to read documents, emails, etc. so I need to screen space.";M S Frank;29-Aug-18; ;phone,phone,screen,phone,screen,screen,screen,phone,screen,phone,emails,documents;1,0,0,0,0,0,1,1,1,1,1,1
5.0 out of 5 stars;Perfecto;Perfecto, la caja cerrada, todo muy bien es funcional;CARLA;15-Nov-18;https://www.amazon.com/Sony-Xperia-5-7-inches-Factory-Unlocked/product-reviews/B07BGXVDZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;-;2
3.0 out of 5 stars;Marginal improvement from XZs;"Beware whom you get this phone from!!!
The more I use this phone, the more I feel that this phone was a demo unit.
- screen touch isn't responsive
- periodic lines appears when hands are warm
- auto brightness is close to not working

Updated thoughts:
I think xperia xz2 is generally a good phone. However, after seeing the complaints, it makes me wonder if third party sellers are getting their phones from defected batches from the manufacturers (not Sony). That's why they are much cheaper than the market value. I'll buy it from best buy directly to see if there are fewer issues.

New found issue:
As many people would do after the screen is full of fingerprints and dusty, we wipe it with cloth or our clothes. After that, you will see very obvious horizontal lines due to ESD. Not sure if this is my phone or it's a general issue. I have to restart the phone to get rid of the lines.
Also, if you finger swipe quickly and create some static, you will see the color gets darker... Very disappointed

Upgraded from xperia xzs...
Have been a Sony fan... However, somehow a bit disappointed by the phone. But let's start with the good stuff though:

1. Great LCD screen, good color, but light leakage is a bit worse than my xzs.
2. Good low light performance camera. However, I think they over increased the pixel gain. As a result, during normal light condition, noise is higher.
3. Battery life is improved, probably just because it's bigger.
4. Beautiful design (black) without a case
5. Speaker is louder

Now, the bad stuff:
1. Fingerprint sensor location is awkward. After upgrading to Android 9, it became less responsive and some Apps stopped working with the sensor.
2. Slippery without a case.
3. Nice haptic engine, but the force is too small to feel when there is a phone call.
4. A bit on the heavier side as for the weight.
5. Pictures from the front camera are very nosiy
6. Sony needs to make a SW to stop all the Google stuff that's running in the background. That's why the bigger battery doesn't improve the user experience that much
7. Battery care option doesn't seem to work on my phone

My wish list for xz4...
1. Don't use oled... It's the stupidest technology... Shorter life time, burn in problem... Maybe save the battery life marginally
2. Keep the fingerprint sensor on the Side!!! Under display fp sensor is overrated. People will see burn in in their oled with optical fp sensors
3. Make a better SW.
4. Have a option in the camera so that images are less noisy in normal lighting
5. If you want to do a glass back for wireless charge, use frosted glass so that it's not a fingerprint magnet or scratch-happy surface";Nick;19-Dec-18;https://www.amazon.com/Sony-Xperia-5-7-inches-Factory-Unlocked/product-reviews/B07BGXVDZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,phone,phone,screen,touch,auto,brightness,phone,phones,people,screen,fingerprints,phone,phone,color,phone,screen,lcd,color,performance,camera,battery,speaker,fingerprint,sensor,location,sensor,slippery,engine,phone,call,pictures,camera,battery,battery,option,phone,technology,time,battery,fingerprint,sensor,display,sensor,sensors,option,camera,images,wireless,charge;0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0 out of 5 stars;Great international cell phone;"First off, I'm a Sony believer... But jokes aside, this is a great phone for personal or business use, I got the dual sim international version because I needed a Swiss simcard and a US simcard for my business. I used this phone in the USA and throughout Europe. And I had absolute no issues with reception or anything.

The fingerprint reader in the back was something to get used to, but after a while you'll not even know how it was before... 😃

Overall, fast, great battery life, and many of great functions... Working worldwide for under 600.- what else to you need...";Thomas Luethi;23-Apr-19;https://www.amazon.com/Sony-Xperia-5-7-inches-Factory-Unlocked/product-reviews/B07BGXVDZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,sim,simcard,simcard,phone,reception,fingerprint,battery,functions;1,1,1,1,1,1,1,1,1
5.0 out of 5 stars;Great smart phone with great features;By far best phone I had. I switched from apple to android and this is the first android I've had in over 7 years. Really impressed with the features it comes with and the price point, if this was an apple phone it would cost triple. I would Recommend to anyone who wants an android but doesn't want to get a Samsung or LG. Here in the states I think only 2 carriers can work with this phone AT&T for sure ( I had to switch to this carrier for this phone) and I believe the other is Verizon.;Francisco;14-Jul-18;https://www.amazon.com/Sony-Xperia-5-7-inches-Factory-Unlocked/product-reviews/B07BGXVDZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,features,phone,carriers,phone,phone;1,1,1,1,1,1
4.0 out of 5 stars;Good phone overall;Phone is nice. True about finger sliding to camera lens instead of finger print and also it does feel a little slippery, hasn't fallen yet. Other than that got what was to be expected of it.;Alex G.;29-Oct-18;https://www.amazon.com/Sony-Xperia-5-7-inches-Factory-Unlocked/product-reviews/B07BGXVDZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,print;1,1
5.0 out of 5 stars;Five Stars;Super fast and responsive. WAYYYYYY better than my Samsung s8.;Robert Miles;13-Jul-18;https://www.amazon.com/Sony-Xperia-5-7-inches-Factory-Unlocked/product-reviews/B07BGXVDZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;-;2
5.0 out of 5 stars;Five Stars;Je besoin de ce téléphone;Diallo;17-Apr-18;https://www.amazon.com/Sony-Xperia-5-7-inches-Factory-Unlocked/product-reviews/B07BGXVDZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;-;2
5.0 out of 5 stars;Snappy, awesome battery;Snappy, awesome battery life. Good display and camera. I love it;Nazrul;12-Jan-19;https://www.amazon.com/Sony-Xperia-5-7-inches-Factory-Unlocked/product-reviews/B07BGXVDZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;battery,display,camera;1,1,1
4.0 out of 5 stars;Looks really good;The phone looks and feels fantastic and the size for me is perfect. I find the fingerprint sensor in an awkward position but I am used to it now. The phone could be lighter and the battery a bit better. Generally speaking I am liking it the more I use it.;Ian Waddington;19-Apr-18;https://www.amazon.com/Sony-Xperia-5-7-inches-Factory-Unlocked/product-reviews/B07BGXVDZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;phone,fingerprint,sensor,phone,battery;1,0,0,0,0
